input_name;normalized_name;flags
[ 3h ] 8 - oh - dpat;8 - oh - dpat;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 35s ] gtp - gamma - s;gtp - gamma - s;{'fluorophore': [], 'isotope': ['35S'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 35s ] gtp - gamma - s;gtp - gamma - s;{'fluorophore': [], 'isotope': ['35S'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
5 - ht );5 - ht );{'fluorophore': [], 'isotope': [], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
5 - ht );5 - ht );{'fluorophore': [], 'isotope': [], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] 8 - hydroxy - 2 - ( di - n - propylamino ) tetralin;8 - hydroxy - 2 - ( di - n - propylamino ) tetralin;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] 8 - oh - dpat;8 - oh - dpat;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] 8 - oh - dpat;8 - oh - dpat;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] mesulergine;mesulergine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] mesulergine;mesulergine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ketanserin;ketanserin;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dob;dob;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ketanserin;ketanserin;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ketanserin;ketanserin;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ketanserin;ketanserin;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
5 - ht;5 - ht;{'fluorophore': [], 'isotope': [], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] - 5 - ct; 5 - ct;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] lsd;lsd;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 125i ] - 2 - iodo lsd; 2 - iodo lsd;{'fluorophore': [], 'isotope': ['125I'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] lsd;lsd;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] 5 - ht;5 - ht;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] 5 - ht;5 - ht;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n6 - [ 3h ] cyclohexyladenosine;n6 - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] - dpcpx; dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] - vesamicol; vesamicol;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 1 - 14c ] oleolyl - coa;oleolyl - coa;{'fluorophore': [], 'isotope': ['14C'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n6 - [ 3h ] - cyclohexyladenosine;n6 - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 125 - i ] - labeled aminobenzyl adenosine; aminobenzyl adenosine;{'fluorophore': [], 'isotope': ['125I'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': ['labeled'], 'parenthetical': []}
[ 125 - i ] - labeled aminobenzyl adenosine; aminobenzyl adenosine;{'fluorophore': [], 'isotope': ['125I'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': ['labeled'], 'parenthetical': []}
[ 125 - i ] - labeled aminobenzyl adenosine; aminobenzyl adenosine;{'fluorophore': [], 'isotope': ['125I'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': ['labeled'], 'parenthetical': []}
[ 125 - i ] - labeled aminobenzyl adenosine; aminobenzyl adenosine;{'fluorophore': [], 'isotope': ['125I'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': ['labeled'], 'parenthetical': []}
n6 - [ 3h ] - cyclohexyladenosine;n6 - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] pia;pia;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] pia;pia;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n6 - [ 3h ] cyclohexyladenosine;n6 - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n6 - [ 3h ] cyclohexyladenosine;n6 - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
gtp;gtp;{'fluorophore': [], 'isotope': [], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n - [ 3h ] cyclohexyladenosine;n - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
n - [ 3h ] cyclohexyladenosine;n - cyclohexyladenosine;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ccpa;ccpa;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ccpa;ccpa;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] ccpa;ccpa;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] - dpcpx; dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] - dpcpx; dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
[ 3h ] dpcpx;dpcpx;{'fluorophore': [], 'isotope': ['3H'], 'biotin': [], 'salt': [], 'hydrate': [], 'noise': [], 'parenthetical': []}
