input_name,normalized_name,search_name,search_override_reason,category,peptide_info,flags,removed_tokens_flat,status,flag_isotope,flag_fluorophore,flag_biotin,flag_salt,flag_hydrate,flag_empty_after_clean
[ 3h ] 8 - oh - dpat,8-oh-dpat,8-oh-dpat,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 35s ] gtp - gamma - s,gtp-gamma-s,gtp-gamma-s,,small_molecule,{},"{""isotope"": [""[ 35s ]""]}",isotope:[ 35s ],,True,False,False,False,False,False
[ 35s ] gtp - gamma - s,gtp-gamma-s,gtp-gamma-s,,small_molecule,{},"{""isotope"": [""[ 35s ]""]}",isotope:[ 35s ],,True,False,False,False,False,False
5 - ht ),5-ht ),5-ht ),,small_molecule,{},{},,,False,False,False,False,False,False
5 - ht ),5-ht ),5-ht ),,small_molecule,{},{},,,False,False,False,False,False,False
[ 3h ] 8 - hydroxy - 2 - ( di - n - propylamino ) tetralin,8-hydroxy-2-di-n-propylamino tetralin,8-hydroxy-2-di-n-propylamino tetralin,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] 8 - oh - dpat,8-oh-dpat,8-oh-dpat,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] 8 - oh - dpat,8-oh-dpat,8-oh-dpat,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] mesulergine,mesulergine,mesulergine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] mesulergine,mesulergine,mesulergine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ketanserin,ketanserin,ketanserin,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dob,dob,dob,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ketanserin,ketanserin,ketanserin,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ketanserin,ketanserin,ketanserin,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ketanserin,ketanserin,ketanserin,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
5 - ht,5-ht,5-ht,,small_molecule,{},{},,,False,False,False,False,False,False
[ 3h ] - 5 - ct,5-ct,5-ct,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] lsd,lsd,lsd,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 125i ] - 2 - iodo lsd,2-iodo lsd,2-iodo lsd,,small_molecule,{},"{""isotope"": [""[ 125i ]""]}",isotope:[ 125i ],,True,False,False,False,False,False
[ 3h ] lsd,lsd,lsd,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] 5 - ht,5-ht,5-ht,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] 5 - ht,5-ht,5-ht,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] - dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] - vesamicol,vesamicol,vesamicol,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 1 - 14c ] oleolyl - coa,1 oleolyl-coa,1 oleolyl-coa,,small_molecule,{},"{""isotope"": [""14c""]}",isotope:14c,,True,False,False,False,False,False
n6 - [ 3h ] - cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 125 - i ] - labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,,small_molecule,{},{},,,False,False,False,False,False,False
[ 125 - i ] - labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,,small_molecule,{},{},,,False,False,False,False,False,False
[ 125 - i ] - labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,,small_molecule,{},{},,,False,False,False,False,False,False
[ 125 - i ] - labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,125-i-labeled aminobenzyl adenosine,,small_molecule,{},{},,,False,False,False,False,False,False
n6 - [ 3h ] - cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] pia,pia,pia,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] pia,pia,pia,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
gtp,gtp,gtp,,small_molecule,{},{},,,False,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n - [ 3h ] cyclohexyladenosine,n-cyclohexyladenosine,n-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n - [ 3h ] cyclohexyladenosine,n-cyclohexyladenosine,n-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ccpa,ccpa,ccpa,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ccpa,ccpa,ccpa,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ccpa,ccpa,ccpa,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] - dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] - dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ccpa,ccpa,ccpa,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] dpcpx,dpcpx,dpcpx,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
n6 - [ 3h ] cyclohexyladenosine,n6-cyclohexyladenosine,n6-cyclohexyladenosine,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
[ 3h ] ccpa,ccpa,ccpa,,small_molecule,{},"{""isotope"": [""[ 3h ]""]}",isotope:[ 3h ],,True,False,False,False,False,False
